# mean,std
178.66797,89.47165
0.033744857,0.034485396
0.044795606,0.038920645
0.056982443,0.055416185
0.08267706,0.064781055
0.17750777,0.1184702
0.17539509,0.11218612
0.122399144,0.09915003
111.09285,117.0827
0.02791544,0.036259905
0.029266676,0.043152064
0.0495067,0.054938238
0.056533907,0.074629895
0.11535108,0.1386856
0.110029705,0.14791493
0.10856465,0.10264611
0.060848773,0.08423215
0.10886431,0.09529256
0.11124648,0.12159706
0.11155568,0.12414841
